id,p4,q4,p6,q6,p8,q8,p9,q9,v4
1,-10.4551735,34.37144319,27.28237,-13.2778567,85.03858978,-3.938479991,-3.517562183,3.352640771,0.979568541
2,27.36484135,-19.4653569,-12.88730445,-25.54738788,32.42256078,36.90018965,-7.342436598,42.2729602,0.986433492
3,8.015379157,-4.79128517,51.57614168,-8.338392001,35.13776725,-29.25807291,113.763669,51.49475044,1.02047297
4,-0.604905182,5.581102631,34.05862605,-24.87487973,15.97507663,54.40471065,85.65852807,-47.72822681,1.02622042
5,-9.942724745,-19.71367796,34.90746932,43.26996476,39.92173805,-21.91790346,37.31685518,-1.589495526,1.027762206
6,1.209172403,34.55669664,13.86100478,-22.48126216,44.40014495,65.55602904,78.48567709,24.49812526,0.987988917
7,-0.135990671,-23.16690282,16.50628631,7.006839235,32.93902266,1.073826083,42.37256063,5.072469963,1.011612374
8,41.95787503,-20.54892009,21.36879804,30.00096245,56.67751382,27.79535083,124.4331747,-1.203940377,1.010095409
9,-7.734642827,-17.32058224,-3.985394754,26.73868005,56.455645,50.19944225,122.2003676,7.613896642,1.014644509
10,10.96423485,-7.243502822,64.05815217,-1.899085867,52.72426952,40.44266617,-22.47456367,53.18687392,0.998960916
11,30.46479257,26.77653491,24.64227099,7.066677156,82.08351825,51.94072038,20.79254727,30.37481655,0.991335966
12,8.425211453,-16.08263809,61.12965778,-10.13997502,55.3710405,44.25621576,37.26002253,15.50073184,1.013011386
13,34.15170924,3.761152194,64.36903574,10.20514426,24.67761876,6.444962885,1.241204275,-7.109217972,1.012060198
14,29.24377408,5.606096409,36.77650927,20.37615464,14.2970268,-21.10969007,46.09307053,65.50702232,0.996140036
15,25.4116346,-5.814947283,-12.73824003,13.42337381,-17.27390511,-21.60257737,-16.37941258,31.20045669,0.985928407
16,36.37544613,19.83252061,65.07120122,5.537735821,26.91636617,46.52034958,120.6481267,14.51093121,0.993661847
