id,p5,q5
1,-14.95362572,39.93729341
2,42.62281974,23.07950919
3,8.245759474,-29.39772532
4,-17.10751229,-27.93940519
5,16.78550852,-13.26265534
6,3.735250754,8.661127827
7,79.13563969,24.3861027
8,-21.16252093,36.70875252
9,30.13270882,-14.18435141
10,81.23917127,3.345354915
11,77.0146596,7.169854105
12,22.63105411,8.474057483
13,43.92404734,21.40375354
14,40.89934562,7.047075222
15,46.69044178,23.25166561
16,14.78085978,14.51286689
17,41.27356561,36.25953942
18,-15.6788469,-23.80266729
19,54.76454891,-24.96890635
20,25.08898845,22.31924044
21,96.41536727,40.79116639
22,42.55913652,1.804926471
23,98.56394935,2.916830759
24,50.31873046,37.17052092
25,-15.4353469,-22.5963932
26,14.92845682,32.28285193
27,92.85377023,15.41416718
28,-26.13240163,-26.543769
29,11.30252966,8.139159722
30,36.66715046,32.0092536
31,86.18298441,39.06225404
32,-21.06020261,9.575001662
33,90.24247494,-24.27037398
34,97.53153841,-26.93045828
35,-7.940709958,42.98859306
36,93.29366707,37.03553604
37,34.03149303,14.84570361
38,35.16417057,37.57410327
39,40.20640981,-0.730292764
40,52.48943377,34.03768682
41,-8.556886933,-28.31822257
42,29.96309625,32.8756595
43,43.91079039,-15.75446679
44,75.14627438,8.172089051
45,28.55626138,-29.94086736
46,37.17634339,-16.33426151
47,72.38799631,-9.467401215
48,87.10759228,-11.57144633
49,14.04296377,29.33166815
50,-21.27775893,-17.13207651
51,-25.76322032,9.120375184
52,56.51127307,13.47175797
53,72.43659984,7.900188328
54,59.34352175,16.69157614
55,-18.4309273,41.4344361
56,33.85480314,41.31708974
57,-26.21098465,32.07609855
58,91.88097147,-23.59499885
59,19.92796437,20.19662735
60,-8.709272353,14.37506847
61,-17.45813273,14.55742819
62,-7.122700191,2.797365519
63,27.43674188,-7.262307842
64,-4.457017383,9.41303125
65,39.40846294,-12.15586935
66,34.87384545,12.57872582
67,91.989125,1.135893243
68,41.23554172,2.65694721
69,33.65460979,18.80456859
70,51.78229569,-13.84668979
71,19.37580988,24.15534205
72,63.96329517,-16.03213079
73,64.94288126,-15.62437372
74,-15.64234396,-23.98099696
75,2.958785636,-11.64850727
76,97.40090182,-10.14258528
77,63.07464352,14.63641342
78,28.43504351,-12.49592938
79,14.83875305,14.00336216
80,41.60978233,35.8812277
81,5.123224678,7.781918175
82,20.80177634,43.53895917
83,26.18975738,-0.32712593
84,10.94635764,16.53339932
85,-7.881269475,21.7540603
86,28.75598417,-3.250625265
87,80.11129923,33.12140516
88,31.70126248,-13.41364935
89,74.51486705,35.28930035
90,11.09225731,-12.29945092
91,-7.444547814,37.27872276
92,98.93864973,-12.08527292
93,46.22615931,30.55041665
94,37.05589068,18.03950852
95,5.076445388,-23.11319419
96,51.97891274,33.71799965
97,-16.85122244,12.16749508
98,-25.63393095,-8.872153252
99,94.88058367,26.60826069
100,31.76213892,-24.96548737
101,83.05975941,-7.948266799
102,10.56241457,17.23119075
103,34.2025141,33.71807318
104,10.70316555,0.130406221
105,-12.32952524,30.82109792
106,-25.48780956,-21.42894656
107,65.17697712,37.07115165
108,-9.487871251,5.216999311
109,-25.74082465,-11.54409851
110,41.97116467,-19.02213697
111,81.71417487,38.53676333
112,-24.57085736,6.375166569
113,-7.043834106,5.41509197
114,-24.88696573,26.28011479
115,-12.90426493,39.42665029
116,29.96782279,-1.409964038
117,85.55431194,-25.85437951
118,5.972042434,-13.69655658
119,77.66895921,-29.16445082
120,11.28192064,14.01919903
121,6.775155742,9.705659476
122,90.03897719,39.0038614
123,34.51578078,-28.15340684
124,48.10522002,40.50879816
125,15.3334685,35.71205057
126,63.94695589,-25.93494395
127,-6.797926282,36.38203791
128,20.62423563,9.158433052
129,52.42792666,-7.537597361
